"","state","city","population"
"195","北海道","弟子屈町","7,758"
"196","北海道","鶴居村","2,534"
"197","北海道","白糠町","8,068"
"198","北海道","別海町","15,273"
"199","北海道","中標津町","23,774"
"200","北海道","標津町","5,242"
"201","北海道","羅臼町","5,415"
"202","青森県","青森県","1,308,265"
"203","青森県","青森市","287,648"
"204","青森県","弘前市","177,411"
"205","青森県","八戸市","231,257"
"206","青森県","黒石市","34,284"
"207","青森県","五所川原市","55,181"
"208","青森県","十和田市","63,429"
"209","青森県","三沢市","40,196"
"210","青森県","むつ市","58,493"
"211","青森県","つがる市","33,316"
"212","青森県","平川市","32,106"
"213","青森県","平内町","11,142"
"214","青森県","今別町","2,756"
"215","青森県","蓬田村","2,896"
"216","青森県","外ヶ浜町","6,198"
"217","青森県","鰺ヶ沢町","10,126"
"218","青森県","深浦町","8,429"
"219","青森県","西目屋村","1,415"
"220","青森県","藤崎町","15,179"
"221","青森県","大鰐町","9,676"
"222","青森県","田舎館村","7,783"
"223","青森県","板柳町","13,935"
"224","青森県","鶴田町","13,392"
"225","青森県","中泊町","11,187"
"226","青森県","野辺地町","13,524"
"227","青森県","七戸町","15,709"
"228","青森県","六戸町","10,423"
"229","青森県","横浜町","4,535"
"230","青森県","東北町","17,955"
"231","青森県","六ヶ所村","10,536"
"232","青森県","おいらせ町","24,222"
"233","青森県","大間町","5,227"
"234","青森県","東通村","6,607"
"235","青森県","風間浦村","1,976"
"236","青森県","佐井村","2,148"
"237","青森県","三戸町","10,135"
"238","青森県","五戸町","17,433"
"239","青森県","田子町","5,554"
"240","青森県","南部町","18,312"
"241","青森県","階上町","14,025"
"242","青森県","新郷村","2,509"
"243","岩手県","岩手県","1,279,594"
"244","岩手県","盛岡市","297,631"
"245","岩手県","宮古市","56,676"
"246","岩手県","大船渡市","38,058"
"247","岩手県","花巻市","97,702"
"248","岩手県","北上市","93,511"
"249","岩手県","久慈市","35,642"
"250","岩手県","遠野市","28,062"
"251","岩手県","一関市","121,583"
"252","岩手県","陸前高田市","19,758"
"253","岩手県","釜石市","36,802"
"254","岩手県","二戸市","27,611"
"255","岩手県","八幡平市","26,355"
"256","岩手県","奥州市","119,422"
"257","岩手県","滝沢市","55,463"
"258","岩手県","雫石町","16,981"
"259","岩手県","葛巻町","6,344"
"260","岩手県","岩手町","13,692"
"261","岩手県","紫波町","32,614"
"262","岩手県","矢巾町","27,678"
"263","岩手県","西和賀町","5,880"
"264","岩手県","金ケ崎町","15,895"
"265","岩手県","平泉町","7,868"
"266","岩手県","住田町","5,720"
"267","岩手県","大槌町","11,759"
"268","岩手県","山田町","15,826"
"269","岩手県","岩泉町","9,841"
"270","岩手県","田野畑村","3,466"
"271","岩手県","普代村","2,795"
"272","岩手県","軽米町","9,333"
"273","岩手県","野田村","4,149"
"274","岩手県","九戸村","5,865"
"275","岩手県","洋野町","16,693"
"276","岩手県","一戸町","12,919"
"277","宮城県","宮城県","2,333,899"
"278","宮城県","仙台市","1,082,159"
"279","宮城県","仙台市 青葉区","310,183"
"280","宮城県","仙台市 宮城野区","194,825"
"281","宮城県","仙台市 若林区","133,498"
"282","宮城県","仙台市 太白区","226,855"
"283","宮城県","仙台市 泉区","216,798"
"284","宮城県","石巻市","147,214"
"285","宮城県","塩竈市","54,187"
"286","宮城県","気仙沼市","64,988"
"287","宮城県","白石市","35,272"
"288","宮城県","名取市","76,668"
"289","宮城県","角田市","30,180"
"290","宮城県","多賀城市","62,096"
"291","宮城県","岩沼市","44,678"
"292","宮城県","登米市","81,959"
"293","宮城県","栗原市","69,906"
"294","宮城県","東松島市","39,503"
"295","宮城県","大崎市","133,391"
"296","宮城県","蔵王町","12,316"
"297","宮城県","七ヶ宿町","1,461"
"298","宮城県","大河原町","23,798"
"299","宮城県","村田町","11,501"
"300","宮城県","柴田町","39,525"
"301","宮城県","川崎町","9,167"
"302","宮城県","丸森町","13,972"
"303","宮城県","亘理町","33,589"
"304","宮城県","山元町","12,315"
"305","宮城県","松島町","14,421"
"306","宮城県","七ヶ浜町","18,652"
"307","宮城県","利府町","35,835"
"308","宮城県","大和町","28,244"
"309","宮城県","大郷町","8,370"
"310","宮城県","富谷町","51,591"
"311","宮城県","大衡村","5,703"
"312","宮城県","色麻町","7,238"
"313","宮城県","加美町","23,743"
"314","宮城県","涌谷町","16,701"
"315","宮城県","美里町","24,852"
"316","宮城県","女川町","6,334"
"317","宮城県","南三陸町","12,370"
"318","秋田県","秋田県","1,023,119"
"319","秋田県","秋田市","315,814"
"320","秋田県","能代市","54,730"
"321","秋田県","横手市","92,197"
"322","秋田県","大館市","74,175"
"323","秋田県","男鹿市","28,375"
"324","秋田県","湯沢市","46,613"
"325","秋田県","鹿角市","32,038"
"326","秋田県","由利本荘市","79,927"
"327","秋田県","潟上市","33,083"
"328","秋田県","大仙市","82,783"
"329","秋田県","北秋田市","33,224"
"330","秋田県","にかほ市","25,324"
"331","秋田県","仙北市","27,523"
"332","秋田県","小坂町","5,339"
"333","秋田県","上小阿仁村","2,381"
"334","秋田県","藤里町","3,359"
"335","秋田県","三種町","17,078"
"336","秋田県","八峰町","7,309"
"337","秋田県","五城目町","9,463"
"338","秋田県","八郎潟町","6,080"
"339","秋田県","井川町","4,986"
"340","秋田県","大潟村","3,110"
"341","秋田県","美郷町","20,279"
"342","秋田県","羽後町","15,319"
"343","秋田県","東成瀬村","2,610"
"344","山形県","山形県","1,123,891"
"345","山形県","山形市","253,832"
"346","山形県","米沢市","85,953"
"347","山形県","鶴岡市","129,652"
"348","山形県","酒田市","106,244"
"349","山形県","新庄市","36,894"
"350","山形県","寒河江市","41,256"
"351","山形県","上山市","31,569"
"352","山形県","村山市","24,684"
"353","山形県","長井市","27,757"
"354","山形県","天童市","62,194"
"355","山形県","東根市","47,768"
"356","山形県","尾花沢市","16,953"
"357","山形県","南陽市","32,285"
"358","山形県","山辺町","14,369"
"359","山形県","中山町","11,363"
"360","山形県","河北町","18,952"
"361","山形県","西川町","5,636"
"362","山形県","朝日町","7,119"
"363","山形県","大江町","8,472"
"364","山形県","大石田町","7,357"
"365","山形県","金山町","5,829"
"366","山形県","最上町","8,902"
"367","山形県","舟形町","5,631"
"368","山形県","真室川町","8,137"
"369","山形県","大蔵村","3,412"
"370","山形県","鮭川村","4,317"
"371","山形県","戸沢村","4,773"
"372","山形県","高畠町","23,882"
"373","山形県","川西町","15,751"
"374","山形県","小国町","7,868"
"375","山形県","白鷹町","14,175"
"376","山形県","飯豊町","7,304"
"377","山形県","三川町","7,728"
"378","山形県","庄内町","21,666"
"379","山形県","遊佐町","14,207"
"380","福島県","福島県","1,914,039"
"381","福島県","福島市","294,247"
"382","福島県","会津若松市","124,062"
"383","福島県","郡山市","335,444"
"384","福島県","いわき市","350,237"
"385","福島県","白河市","61,913"
"386","福島県","須賀川市","77,441"
"387","福島県","喜多方市","49,377"
"388","福島県","相馬市","38,556"
"389","福島県","二本松市","58,162"
"390","福島県","田村市","38,503"
"391","福島県","南相馬市","57,797"
"392","福島県","伊達市","62,400"
"393","福島県","本宮市","30,924"
"394","福島県","桑折町","12,271"
"395","福島県","国見町","9,512"
"396","福島県","川俣町","14,452"
"397","福島県","大玉村","8,679"
"398","福島県","鏡石町","12,486"
"399","福島県","天栄村","5,611"
"400","福島県","下郷町","5,800"
"401","福島県","檜枝岐村","615"
"402","福島県","只見町","4,470"
"403","福島県","南会津町","16,264"
"404","福島県","北塩原村","2,831"
"405","福島県","西会津町","6,582"
"406","福島県","磐梯町","3,579"
"407","福島県","猪苗代町","15,037"
"408","福島県","会津坂下町","16,303"
"409","福島県","湯川村","3,206"
"410","福島県","柳津町","3,536"
"411","福島県","三島町","1,668"
"412","福島県","金山町","2,189"
"413","福島県","昭和村","1,322"
"414","福島県","会津美里町","20,913"
"415","福島県","西郷村","20,322"
"416","福島県","泉崎村","6,495"
"417","福島県","中島村","5,001"
"418","福島県","矢吹町","17,370"
"419","福島県","棚倉町","14,295"
"420","福島県","矢祭町","5,950"
"421","福島県","塙町","9,157"
"422","福島県","鮫川村","3,577"
"423","福島県","石川町","15,880"
"424","福島県","玉川村","6,777"
"425","福島県","平田村","6,505"
"426","福島県","浅川町","6,577"
"427","福島県","古殿町","5,373"
"428","福島県","三春町","18,304"
"429","福島県","小野町","10,475"
"430","福島県","広野町","4,319"
"431","福島県","楢葉町","975"
"432","福島県","富岡町","0"
"433","福島県","川内村","2,021"
"434","福島県","大熊町","0"
"435","福島県","双葉町","0"
"436","福島県","浪江町","0"
"437","福島県","葛尾村","18"
"438","福島県","新地町","8,218"
"439","福島県","飯舘村","41"
"440","茨城県","茨城県","2,916,976"
"441","茨城県","水戸市","270,783"
"442","茨城県","日立市","185,054"
"443","茨城県","土浦市","140,804"
"444","茨城県","古河市","140,946"
"445","茨城県","石岡市","76,020"
"446","茨城県","結城市","51,594"
"447","茨城県","龍ケ崎市","78,342"
"448","茨城県","下妻市","43,293"
"449","茨城県","常総市","61,483"
"450","茨城県","常陸太田市","52,294"
"451","茨城県","高萩市","29,638"
"452","茨城県","北茨城市","44,412"
"453","茨城県","笠間市","76,739"
"454","茨城県","取手市","106,570"
"455","茨城県","牛久市","84,317"
"456","茨城県","つくば市","226,963"
"457","茨城県","ひたちなか市","155,689"
"458","茨城県","鹿嶋市","67,879"
"459","茨城県","潮来市","29,111"
"460","茨城県","守谷市","64,753"
"461","茨城県","常陸大宮市","42,587"
"462","茨城県","那珂市","54,276"
"463","茨城県","筑西市","104,573"
"464","茨城県","坂東市","54,087"
"465","茨城県","稲敷市","42,810"
"466","茨城県","かすみがうら市","42,147"
"467","茨城県","桜川市","42,632"
"468","茨城県","神栖市","94,522"
"469","茨城県","行方市","34,909"
"470","茨城県","鉾田市","48,147"
"471","茨城県","つくばみらい市","49,136"
"472","茨城県","小美玉市","50,911"
"473","茨城県","茨城町","32,921"
"474","茨城県","大洗町","16,886"
"475","茨城県","城里町","19,800"
"476","茨城県","東海村","37,713"
"477","茨城県","大子町","18,053"
"478","茨城県","美浦村","15,842"
"479","茨城県","阿見町","47,535"
"480","茨城県","河内町","9,168"
"481","茨城県","八千代町","22,021"
"482","茨城県","五霞町","8,786"
"483","茨城県","境町","24,517"
"484","茨城県","利根町","16,313"
"485","栃木県","栃木県","1,974,255"
"486","栃木県","宇都宮市","518,594"
"487","栃木県","足利市","149,452"
"488","栃木県","栃木市","159,211"
"489","栃木県","佐野市","118,919"
"490","栃木県","鹿沼市","98,374"
"491","栃木県","日光市","83,386"
"492","栃木県","小山市","166,760"
"493","栃木県","真岡市","79,539"
"494","栃木県","大田原市","75,457"
"495","栃木県","矢板市","33,354"
"496","栃木県","那須塩原市","117,146"
"497","栃木県","さくら市","44,901"
"498","栃木県","那須烏山市","27,047"
"499","栃木県","下野市","59,431"
"500","栃木県","上三川町","31,046"
"501","栃木県","益子町","23,281"
"502","栃木県","茂木町","13,188"
"503","栃木県","市貝町","11,720"
"504","栃木県","芳賀町","15,189"
"505","栃木県","壬生町","39,951"
"506","栃木県","野木町","25,292"
"507","栃木県","塩谷町","11,495"
"508","栃木県","高根沢町","29,639"
"509","栃木県","那須町","24,919"
"510","栃木県","那珂川町","16,964"
"511","群馬県","群馬県","1,973,115"
"512","群馬県","前橋市","336,154"
"513","群馬県","高崎市","370,884"
"514","群馬県","桐生市","114,714"
"515","群馬県","伊勢崎市","208,814"
"516","群馬県","太田市","219,807"
"517","群馬県","沼田市","48,676"
"518","群馬県","館林市","76,667"
"519","群馬県","渋川市","78,391"
"520","群馬県","藤岡市","65,708"
"521","群馬県","富岡市","49,746"
"522","群馬県","安中市","58,531"
"523","群馬県","みどり市","50,906"
"524","群馬県","榛東村","14,329"
"525","群馬県","吉岡町","21,080"
"526","群馬県","上野村","1,230"
"527","群馬県","神流町","1,954"
"528","群馬県","下仁田町","7,564"
"529","群馬県","南牧村","1,979"
"530","群馬県","甘楽町","13,200"
"531","群馬県","中之条町","16,850"
"532","群馬県","長野原町","5,536"
"533","群馬県","嬬恋村","9,780"
"534","群馬県","草津町","6,518"
"535","群馬県","高山村","3,674"
"536","群馬県","東吾妻町","14,033"
"537","群馬県","片品村","4,390"
"538","群馬県","川場村","3,647"
"539","群馬県","昭和村","7,347"
"540","群馬県","みなかみ町","19,347"
"541","群馬県","玉村町","36,654"
"542","群馬県","板倉町","15,015"
"543","群馬県","明和町","11,044"
"544","群馬県","千代田町","11,318"
"545","群馬県","大泉町","41,202"
"546","群馬県","邑楽町","26,426"
"547","埼玉県","埼玉県","7,266,534"
"548","埼玉県","さいたま市","1,263,979"
"549","埼玉県","さいたま市 西区","87,146"
"550","埼玉県","さいたま市 北区","143,446"
"551","埼玉県","さいたま市 大宮区","113,864"
"552","埼玉県","さいたま市 見沼区","161,960"
"553","埼玉県","さいたま市 中央区","98,762"
"554","埼玉県","さいたま市 桜区","97,910"
"555","埼玉県","さいたま市 浦和区","154,416"
"556","埼玉県","さいたま市 南区","180,152"
"557","埼玉県","さいたま市 緑区","116,522"
"558","埼玉県","さいたま市 岩槻区","109,801"
"559","埼玉県","川越市","350,745"
"560","埼玉県","熊谷市","198,742"
"561","埼玉県","川口市","578,112"
"562","埼玉県","行田市","82,113"
"563","埼玉県","秩父市","63,555"
"564","埼玉県","所沢市","340,386"
"565","埼玉県","飯能市","80,715"
"566","埼玉県","加須市","112,229"
"567","埼玉県","本庄市","77,881"
"568","埼玉県","東松山市","91,437"
"569","埼玉県","春日部市","232,709"
"570","埼玉県","狭山市","152,405"
"571","埼玉県","羽生市","54,874"
"572","埼玉県","鴻巣市","118,072"
"573","埼玉県","深谷市","143,811"
"574","埼玉県","上尾市","225,196"
"575","埼玉県","草加市","247,034"
"576","埼玉県","越谷市","337,498"
"577","埼玉県","蕨市","72,260"
"578","埼玉県","戸田市","136,150"
"579","埼玉県","入間市","148,390"
"580","埼玉県","朝霞市","136,299"
"581","埼玉県","志木市","72,676"
"582","埼玉県","和光市","80,826"
"583","埼玉県","新座市","162,122"
"584","埼玉県","桶川市","73,936"
"585","埼玉県","久喜市","152,311"
"586","埼玉県","北本市","67,409"
"587","埼玉県","八潮市","86,717"
"588","埼玉県","富士見市","108,102"
"589","埼玉県","三郷市","136,521"
"590","埼玉県","蓮田市","62,380"
"591","埼玉県","坂戸市","101,679"
"592","埼玉県","幸手市","52,524"
"593","埼玉県","鶴ヶ島市","70,255"
"594","埼玉県","日高市","56,520"
"595","埼玉県","吉川市","69,738"
"596","埼玉県","ふじみ野市","110,970"
"597","埼玉県","白岡市","51,535"
"598","埼玉県","伊奈町","44,442"
"599","埼玉県","三芳町","38,456"
"600","埼玉県","毛呂山町","37,275"
"601","埼玉県","越生町","11,716"
"602","埼玉県","滑川町","18,212"
"603","埼玉県","嵐山町","18,341"
"604","埼玉県","小川町","31,178"
"605","埼玉県","川島町","20,788"
"606","埼玉県","吉見町","19,631"
"607","埼玉県","鳩山町","14,338"
"608","埼玉県","ときがわ町","11,492"
"609","埼玉県","横瀬町","8,519"
"610","埼玉県","皆野町","10,133"
"611","埼玉県","長瀞町","7,324"
"612","埼玉県","小鹿野町","12,117"
"613","埼玉県","東秩父村","2,915"
"614","埼玉県","美里町","11,207"
"615","埼玉県","神川町","13,730"
"616","埼玉県","上里町","30,565"
"617","埼玉県","寄居町","34,081"
"618","埼玉県","宮代町","33,705"
"619","埼玉県","杉戸町","45,495"
"620","埼玉県","松伏町","30,061"
"621","千葉県","千葉県","6,222,666"
"622","千葉県","千葉市","971,882"
"623","千葉県","千葉市 中央区","205,070"
"624","千葉県","千葉市 花見川区","179,200"
"625","千葉県","千葉市 稲毛区","160,968"
"626","千葉県","千葉市 若葉区","151,078"
"627","千葉県","千葉市 緑区","126,848"
"628","千葉県","千葉市 美浜区","148,718"
"629","千葉県","銚子市","64,415"
